OTU_97.11765	0	0	1	5	0	0	0	0	7	0	4	0	1	0	0	0	0	12	0	4	18	0	15	0	0	8	0	0	0	0	2	0	13	6	1	0	0	0	0	0	0	0	0	0	1	17	0	14	1	0	0	0	1	0	0	0	0	0	1	0
OTU_97.1185	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	1	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11855	4	23	3	0	25	5	26	10	8	7	5	9	0	17	0	0	0	0	2	6	11	9	37	18	5	6	4	19	4	4	20	5	0	2	7	1	1	6	6	14	2	1	19	2	2	5	9	1	5	3	0	0	2	15	4	0	0	3	1	0
OTU_97.1189	0	29	9	1	11	5	2	11	2	5	0	5	0	1	0	1	0	0	5	18	1	2	6	1	0	23	6	3	0	1	0	5	0	0	27	0	0	7	1	5	1	0	2	9	3	1	1	0	1	3	0	4	0	1	6	3	0	9	0	0
OTU_97.119	6	0	0	0	0	0	0	0	1	0	0	0	5	0	85	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.11988	61	0	106	2	0	0	0	4	0	3	8	0	0	6	2	0	2	1	22	10	11	45	0	30	0	10	0	0	0	0	0	1	0	42	1	0	0	58	14	0	2	0	3	17	0	1	1	21	0	0	1	1	0	0	0	0	0	0	0	0
OTU_97.12077	0	0	10	0	4	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	3	2	0	0	0	0	0	0	4	31	0	0	0	60	0	0	0	0	11	1	0	0	2	0	1	18	0	0	31	5	1	0	0	10
OTU_97.1225	53	20	30	5	7	6	5	4	9	11	8	0	0	6	8	0	2	12	71	44	8	36	33	8	1	4	3	5	9	4	1	5	4	7	4	3	0	41	14	26	7	0	5	25	1	13	8	12	0	1	9	22	0	11	26	2	1	4	0	1
OTU_97.12297	16	0	0	14	0	2	4	1	1	0	4	1	2	1	3	0	3	18	12	4	13	2	0	16	0	0	0	2	1	2	0	0	0	0	1	0	1	1	0	0	6	0	0	1	0	0	1	3	0	2	1	5	0	1	3	1	4	1	1	0
OTU_97.12439	0	0	0	14	0	0	5	0	15	0	0	0	35	1	0	0	0	0	6	4	10	2	0	0	3	1	0	0	0	0	127	0	26	11	2	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
